artist_name,track_name,release_date,genre,lyrics
The Skanksters,Brass Attack,1997,ska,"Walking down these city streets at night, Brass section keeping time so right, Pick it up pick it up now, Don't you know we're here to show you how. The trumpets blare and trombones slide, Saxophones wailing side by side, Rhythm guitar hitting upstrokes tight, Bass and drums keeping everything right. The moon is high and spirits higher, Our energy could not get any wirer, Dancing till our legs give out, This is what ska is all about. When morning comes we'll still be here, Skanking away without a care, The brass attack has just begun, We won't stop till the day is done."
Rude Awakening,Skank All Night,2001,ska,"When the lights go down, we'll skank all night, Keep on moving to the rhythms tight, One step forward two steps back, This beat is all that we lack. The horn section's blazing through the room, Dispelling any sense of gloom, Sweat dripping down onto the floor, But still we dance and ask for more. Checkered patterns all around, Black and white cover every sound, Unity in rhythm found, As the beat continues to astound. Morning light begins to break, But still our bodies will not shake, The energy keeps flowing strong, As we dance to our favorite song. Rude awakening comes too soon, When they tell us we must leave the room, But memories of the night will stay, Until we skank another day."
The Upbeaters,Morning Sunshine,1995,ska,"The morning sunshine breaks through my window, Another day to face the world below, But with this rhythm in my heart, I know that I can make a brand new start. The city wakes to the sound of horns, A new day has been born, Trumpets call across the land, Time to join the skanking band. Upbeat rhythms chase away the blues, Giving me the strength I need to choose, To face the day with positive mind, Leaving yesterday's troubles behind. The upstroke guitar keeps me moving forward, Progress happens when you're never bored, The drums and bass provide the foundation, For this morning's skanking celebration. So when the sunshine hits your face, Remember to keep up the pace, The Upbeaters bring the morning cheer, Making sure your path is clear."
Skanktastic Four,Rudeboy Blues,1989,ska,"Rudeboy walking with a swagger and style, Porkpie hat and a knowing smile, Kingston calling with a beat so true, Nothing left for a rudeboy to do. Sharp-dressed man in a tailored suit, Polished shoes and looking cute, Dancing to the offbeat sound, Spreading good vibes all around. The Skanktastic Four come together tonight, Making sure everything's feeling right, Horns blazing through the air, Creating music beyond compare. The rudeboy blues ain't about feeling down, It's about owning every part of town, Moving with confidence and grace, Setting the perfect dancing pace. When troubles come and spirits sink, The rudeboy rises in a blink, Finding solace in the skanking beat, Making life feel bittersweet. Original rude boys paved the way, For what we're dancing to today, Respect tradition while moving ahead, Following the path where we're led."
Brass Monkeys,Jump To The Beat,2003,ska,"Jump to the beat and move your feet, The rhythm's flowing down the street, Horns are blazing lighting up the night, Everything's gonna be alright. The saxophone wails a mournful tune, Under the light of the silver moon, But sadness never lasts too long, When we're dancing to this song. Trumpets calling from above, Filling the air with sounds of love, Trombones sliding smooth and low, Telling us which way to go. The dance floor's packed from wall to wall, Everyone answering the rhythm's call, Strangers becoming friends tonight, Under the pulsing strobe light. Cold outside but warm within, As the band begins to play again, Brass Monkeys bringing heat to the scene, Making sure we all convene. So jump high and reach the sky, Let the music be your reason why, The beat goes on through thick and thin, Let the skanking now begin."
The Checkered Vans,Sidewalk Surfing,1998,ska,"Concrete waves beneath my feet, Riding rhythms down the street, Checkered patterns black and white, Skanking through the city night. Four wheels rolling smooth and fast, Present moving through the past, Soundtrack blasting in my ears, Melting away all my fears. The cityscape becomes my ocean, Fluid movements in constant motion, Every crack a wave to ride, Every turn a changing tide. The Checkered Vans provide the sound, As I skate from town to town, Wheels and rhythm both aligned, Freedom for the searching mind. People stare as I roll by, Questions forming in their eyes, But I'm too caught in the groove, To explain why I must move. Sidewalk surfing sets me free, Helps me be who I should be, The marriage of skate and ska, Taking me both near and far. When the day comes to an end, New adventures round the bend, I'll keep surfing through the street, The rhythm guiding my two feet."
Moonlight Skatalites,Midnight Rude,1992,ska,"When the clock strikes midnight hour, Rude boys rise with skanking power, Under stars we dance all night, Moving to the rhythm right. Silver moonlight guides our way, As brass sections start to play, Trumpets reaching for the stars, Sounds that heal our deepest scars. The night belongs to those who know, That rhythm helps the spirit grow, Moonlight Skatalites lead the charge, Making small emotions large. Shadows dance against the wall, As the horns begin to call, Inviting everyone to join, Before the moment we purloin. The midnight rude is not a mood, But how we dance and share our food, Community in darkness found, When we gather for this sound. Cities sleep but we're awake, So much music left to make, Until the morning light appears, Chasing away our nightly fears. Tomorrow we return to jobs, Blending with the daily mobs, But tonight we stand apart, Midnight rude within our heart."
The Upstrokes,Skanking Shoes,2005,ska,"Put on your skanking shoes, There's nothing left to lose, The beat is calling you tonight, Just move your feet and feel alright. These shoes have traveled many miles, Across dance floors with different styles, But nothing feels quite as sweet, As when they find the perfect beat. The leather's worn but soul intact, With every step they counteract, The pressure of the working day, As horns begin to lead the way. When guitar upstrokes set the pace, These shoes will find their perfect place, Sliding across the wooden floor, Always hungry for some more. The Upstrokes play till break of dawn, While feet keep moving on and on, These shoes won't let you down tonight, They'll keep you dancing till first light. Sweat may soak through to your socks, As rhythm through your body rocks, But these shoes were made to take the strain, Dancing through the joy and pain. So lace them up and head out now, These skanking shoes will show you how, To lose yourself in brass and beat, The perfect sound for dancing feet."
Brass Battalion,Trumpet Charge,1997,ska,"Trumpets sound the charge tonight, Trombones backing up just right, Marching forward to the beat, Rhythm flowing down the street. The Brass Battalion takes command, Controlling movements across the land, Their weapons made of polished metal, Each note pushing to new level. The sergeant calls the cadence clear, Skanking soldiers far and near, Follow orders without question, Moving with precise suggestion. The trumpet charge begins at dawn, Continuing until day is gone, Relentless rhythm never ceasing, Energy constantly increasing. Synchronized in black and white, Unity through sound and sight, The battalion marches through the town, No force could ever shut them down. The battle fought with notes not guns, Lasting until the day is done, Victory measured in smiling faces, As the crowd moves through their paces. When the trumpet charge subsides, The memory forever abides, In muscles tired from constant motion, Dancing with complete devotion."
Rude Girls,Pick It Up,2000,ska,"When I say pick it up, You better listen good, The beat is dropping heavy now, Throughout the neighborhood. The Rude Girls have arrived at last, Breaking through the glass ceiling fast, Showing all the boys around, How to really make a sound. Our guitars hit the upstroke clean, Our horns the sharpest you've ever seen, Drums and bass laying foundation, For our skanking domination. We wear our checkered dresses proud, Standing out among the crowd, Porkpie hats at perfect angle, In this scene we will not dangle. Pick it up when we command, As the rhythm sweeps across the land, No time for standing still tonight, Every move must feel just right. We've paid our dues and earned our place, Setting a much faster pace, The Rude Girls revolution's here, Our message ringing loud and clear. So when we say to pick it up, Don't hesitate or interrupt, Just move your feet and feel the sound, The best ska rhythms we have found."
